respid,sample,int_date,fcall,attempt,refusal,lang,phase,qa1,q1c1,qc1a,qb2,qb3,qb4,qb5,qa6,qa8,qa9a,qa9b,qa9c,qa9d,qa9e,qa9f,qa9g,qa11a,qa11b,q11c_b,q11e_b,q11h_b,q11i_b,q11j_b,q11at,qb12,q25a,q25a,q25b,q25c,q25d,q25f,q25g,q25h,q25i,q25j,q25k,q25l,q25m,q25n,q25o,q25p,qb26,qc26,oftvote,q26f1,q26f1a,q26f1b,q26f2,q26f2a,q26f2b,Q26,Q26CAT,qb27,qb27a,int1,int2,int3m,qc28a,qc28b,qc28c,qc28d,qc28e,qc28f,qc28g,qc28h,qa29a,qa29b,q40,qb40a,qb40b,q41,q42,q43,qc48a,qc48b,qc48c,qc49a,qc49b,qc49c,q50q,q50r,q50s,q50t,q50u,q50v,q50w,q50y,q50z,q50aa,q50bb,q50dd,q50ee,q50ff,q50gg,150hh,q51uu,q51jj,q51kk,151ll,q51mm,q51oo,q51pp,q53,qb54,qb55,qc56,qc57,qc58a,qc58b,q100,q101,q102,q102a,q105a,q105b,q105d,q106,qb106,qb107,qb108,qb109,qa110,qb111,qb112,qb115,qb116,qb116a,qb117,q121,q121a,q121b,q122,q122a,q122b,q123,q123a,q123b,q124,q124a,q124b,q125,q125a,q125b,q126,q126a,q126b,qc127,qc128,qc135,qc135a,b139txt,qb139,b139atxt,qb139a,sex,age,educ,hisp,racem1,racem2,racem3,racem4,birht_hisp,usborn,marital,parent,citizen,relig,chr,born,attend,income,inchi,reg,party,partyln,partystrflag,partystr,partysum,ideo,qd140,qb140b,qb141,qb141b,qc142,q148,q149,teaparty2,q150,pvote12a,pvote12b,employ2,employ1,employ7,hh1,hh3,ql1,ql1a,qc1,lc2,lc3,isex,ihisp1,irace1m1,irace1m2,irace1m3,irace1m4,racecmb,racethn,intuser,q148correct,llweight,cellweight,ideoConsis,iseoConsistREC,bys,typogroups,weight
102902,2,140208,140208,1,0,1,1,1,,,,,,,3,2,9,1,9,1,1,2,1,2,2,,,,,,,,,2,9,2,2,2,1,1,1,2,1,2,1,2,,,,,1,,,,50,,,50,3,,,1,,,,,,,,,,,1,1,2,,,9,9,2,,,,,,,1,2,,,2,,1,1,2,2,1,2,1,9,,1,1,2,2,2,2,,,2,,,,,,,2,,,,2,2,2,2,,,,,,,,,,,,1,2,,1,2,,9,,,2,,2,1,2,,1,2,,,,,,,,,,2,44,4,2,2,,,,,1,3,2,,1,1,2,5,10,,3,9,9,1,,9,3,,,,,,,,3,,,,,,,9,1,,,2,,,1,2,1,,,,2,2,1,,,1.2322733,1,3,0,2,1.977486
102904,2,140208,140208,1,0,1,1,3,,,,,,,3,2,2,2,2,2,1,1,1,4,4,,,,,,,,,1,1,2,2,2,1,2,1,1,1,2,1,1,,,,,2,50,,,,,,50,3,,,1,,,,,,,,,,,3,9,1,,,9,1,2,,,,,,,1,2,,,1,,2,2,1,1,1,1,2,2,,1,2,1,2,1,1,,,1,,,,,,,1,2,,,2,2,2,1,,,,,,,,,,,,2,,2,2,,2,1,1,,1,2,,2,,2,1,1,,,,,,,,,,1,68,4,2,1,,,,,1,3,2,,11,2,,5,2,,1,3,1,1,,1,3,,,,,,99,3,3,,,,,,,1,,,,2,,,2,2,1,,,,1,1,1,9,,0.7065288,-2,3,0,3,0.8052445
102909,2,140208,140208,1,0,1,1,2,,,,,,,1,2,2,1,2,2,1,1,2,2,3,,,,,,,,,1,2,1,1,2,1,1,1,2,1,2,2,2,,,,,2,60,,1,,,,60,4,,,1,,,,,,,,,,,1,1,1,,,1,2,2,,,,,,,1,2,,,1,,1,1,2,1,1,2,1,1,,1,2,2,1,2,2,,,2,,,,,,,1,2,,,2,2,2,2,,,,,,,,,,,,2,,2,2,,1,1,1,,2,,1,1,1,,1,2,,,,,,,,,,1,56,6,2,1,,,,,1,1,1,,12,,,2,9,1,1,1,,1,2,1,2,,,,,,99,2,1,4,,,,,,3,2,,,2,,,1,2,1,,,,1,1,1,9,,0.6049304,2,3,0,6,0.646837
102910,2,140208,140208,1,0,1,1,3,,,,,,,3,2,1,2,1,2,1,1,1,4,3,,,,,,,,,2,1,2,1,1,1,2,2,1,2,1,1,2,,,,,1,,,,90,1,,10,1,,,1,,,,,,,,,,,1,2,1,,,1,2,2,,,,,,,1,2,,,1,,2,2,2,1,2,2,1,2,,2,1,2,2,1,1,,,2,,,,,,,1,1,1,1,1,1,1,2,,,,,,,,,,,,1,2,,2,,1,1,1,,1,2,,2,,1,2,,1,,,,,,,,,1,67,6,2,1,,,,,1,1,2,,5,,,5,9,1,1,4,2,1,,2,5,,,,,,4,3,2,,,,,,,2,2,,,1,,2,2,2,1,,,,1,1,1,2,,0.6814798,-8,1,0,1,0.4323043
102911,2,140208,140208,1,0,1,1,2,,,,,,,4,2,1,1,1,2,2,1,2,4,2,,,,,,,,,2,1,2,1,1,1,2,2,1,2,1,1,1,,,,,1,,,,60,1,,40,2,,,1,,,,,,,,,,,1,2,1,,,1,2,2,,,,,,,1,2,,,1,,2,1,2,1,2,2,2,2,,2,1,2,2,1,1,,,2,,,,,,,1,2,,,2,2,1,2,,,,,,,,,,,,1,1,,2,,1,2,,1,1,1,,1,2,,2,,2,,,,,,,,,2,59,8,2,1,,,,,1,1,2,,2,,2,6,7,,1,2,,1,1,2,4,,,,,,9,2,2,,,,,,,2,2,,,2,,,1,2,1,,,,1,1,1,2,,0.6111726,-10,1,0,1,0.526119
102913,2,140208,140208,1,0,1,1,2,,,,,,,4,1,2,1,1,1,2,2,1,2,4,,,,,,,,,1,2,1,2,5,2,1,1,1,1,2,1,1,,,,,4,50,,,,,,50,3,,,1,,,,,,,,,,,9,2,3,,,1,2,1,,,,,,,1,2,,,2,,1,1,1,2,2,9,2,2,,1,2,2,1,1,1,,,3,,,,,,,2,,,,2,2,2,2,,,,,,,,,,,,2,,2,1,1,,1,1,,1,2,,2,,2,2,,2,,,,,,,,,2,62,6,2,1,,,,,1,1,1,,1,,1,4,8,,1,3,2,1,,2,3,,,,,,99,4,3,,,,,,,7,4,,,1,,1,1,1,1,2,3,4,1,1,1,9,,0.758631,5,4,0,7,0.6629891
102914,2,140208,140208,6,0,2,1,1,,,,,,,1,2,1,1,1,2,1,1,1,2,1,,,,,,,,,2,1,2,1,2,1,2,2,2,2,2,1,2,,,,,4,,,,50,,,50,3,,,1,,,,,,,,,,,9,9,1,,,1,2,2,,,,,,,1,2,,,1,,1,2,1,2,2,2,5,2,,2,1,1,2,1,1,,,1,,,,,,,2,,,,2,2,2,2,,,,,,,,,,,,2,,2,2,,1,2,,2,2,,1,2,,1,1,1,,,,,,,,,,2,30,3,1,1,,,,3,,2,1,2,2,,2,3,2,,3,1,,1,1,1,3,,,,,,,,3,,,,,,,3,2,,,2,,,2,1,1,,,,1,3,1,,,1.7646608,-6,2,0,1,2.2222807
102915,2,140208,140208,3,1,1,1,2,,,,,,,2,1,1,1,1,2,1,2,1,2,2,,,,,,,,,1,2,1,2,2,1,1,2,1,1,2,2,2,,,,,1,50,,,,,,50,3,,,1,,,,,,,,,,,3,3,3,,,1,2,2,,,,,,,2,1,,,1,,2,2,2,1,9,2,2,2,,1,2,2,1,2,1,,,1,,,,,,,2,,,,2,2,2,2,,,,,,,,,,,,2,,2,1,1,,2,,2,2,,1,2,,2,1,9,,,,,,,,,,2,54,6,2,1,,,,,1,1,2,,2,,2,5,6,,1,1,,1,2,1,3,,,,,,99,1,3,,,,,,,3,3,,,2,,,2,2,1,,,,1,1,1,9,,0.9142824,4,4,0,6,1.0902967
102917,2,140208,140208,4,0,1,1,3,,,,,,,4,1,9,2,1,2,2,2,1,4,4,,,,,,,,,1,9,2,2,9,2,1,2,2,2,2,1,1,,,,,4,50,,,,,,50,3,,,1,,,,,,,,,,,1,1,1,,,1,2,2,,,,,,,1,2,,,1,,2,2,2,2,1,1,2,2,,2,1,1,2,1,2,,,2,,,,,,,1,2,,,2,2,2,2,,,,,,,,,,,,2,,2,2,,2,2,,1,1,2,,2,,1,1,2,,,,,,,,,,2,68,3,9,9,,,,,1,6,2,,12,,,1,2,,3,3,9,1,,9,3,,,,,,,,3,,,,,,,1,,,,2,,,1,2,1,,,,9,9,1,,,1.7004647,-2,3,0,4,1.1171472
102920,2,140208,140208,5,0,1,1,1,,,,,,,4,1,2,2,2,2,1,2,1,3,3,,,,,,,,,2,2,5,2,5,1,2,5,2,1,2,1,2,,,,,1,50,,,,,,50,3,,,1,,,,,,,,,,,9,9,2,,,1,2,2,,,,,,,1,5,,,1,,1,1,2,1,5,2,1,2,,2,5,1,5,2,1,,,3,,,,,,,1,2,,,2,2,2,2,,,,,,,,,,,,1,2,,2,,1,2,,1,1,1,,2,,2,9,,,,,,,,,,,2,69,6,2,1,,,,,1,1,2,,1,,2,5,7,,1,3,2,1,,2,3,,,,,,2,3,2,,,,,,,2,2,,,2,,,2,2,2,,,,1,1,1,1,,0.8619668,0,3,0,3,0.4797377
102921,2,140208,140208,4,0,1,1,2,,,,,,,4,1,2,2,2,2,2,1,1,2,2,,,,,,,,,1,1,2,1,1,1,1,2,1,1,2,1,2,,,,,1,50,,,,,,50,3,,,1,,,,,,,,,,,3,1,2,,,1,1,2,,,,,,,1,2,,,2,,1,2,2,2,2,2,2,1,,1,2,2,2,1,1,,,2,,,,,,,1,2,,,2,2,2,2,,,,,,,,,,,,2,,2,2,,2,1,1,,2,,2,2,,2,1,2,,,,,,,,,,2,61,4,2,1,,,,,1,1,2,,1,,1,2,5,,1,2,,1,1,2,3,,,,,,6,1,2,,,,,,,5,4,,,2,,,1,2,1,,,,1,1,1,2,,0.9743094,-4,2,0,2,1.0126043
102922,2,140208,140208,5,0,1,1,1,,,,,,,2,1,2,1,1,1,1,1,1,2,2,,,,,,,,,1,2,1,2,2,1,2,1,2,1,2,1,1,,,,,2,65,,1,,,,65,4,,,1,,,,,,,,,,,3,1,2,,,1,2,2,,,,,,,1,2,,,1,,1,1,2,2,1,2,2,2,,2,2,1,1,1,1,,,1,,,,,,,2,,,,2,2,2,2,,,,,,,,,,,,2,,2,2,,2,1,2,,1,1,,1,2,,2,,2,,,,,,,,,1,22,8,2,1,,,,,1,6,2,,13,,2,3,9,1,1,3,1,1,,1,3,,,,,,99,3,3,,,,,,,3,3,,,2,,,1,2,1,,,,1,1,1,9,,0.5309749,2,3,0,5,0.9945729
102924,2,140208,140208,5,0,1,1,1,,,,,,,1,2,1,1,1,9,1,1,1,1,4,,,,,,,,,2,1,2,1,2,1,1,1,2,2,2,1,1,,,,,1,100,,1,,,,100,5,,,1,,,,,,,,,,,1,2,1,,,9,9,2,,,,,,,2,2,,,9,,1,9,1,1,1,9,2,2,,9,2,1,2,2,1,,,1,,,,,,,9,,,,2,9,2,9,,,,,,,,,,,,1,2,,2,,2,2,,2,2,,2,2,,1,9,,,,,,,,,,,1,25,3,1,9,,,,3,,1,1,2,2,,9,9,3,,9,1,,1,2,1,9,,,,,,,,3,,,,,,,5,3,,,2,,,2,2,1,,,,9,3,1,,,1.218964,-5,2,0,2,2.1747803
102925,2,140208,140208,4,0,1,1,2,,,,,,,3,2,2,1,1,2,1,2,1,4,2,,,,,,,,,2,1,2,1,1,1,2,2,2,2,1,1,1,,,,,2,,,,65,1,,35,2,,,1,,,,,,,,,,,1,2,2,,,1,2,2,,,,,,,1,2,,,1,,2,1,2,1,2,2,1,1,,2,1,2,2,1,1,,,2,,,,,,,2,,,,2,2,2,2,,,,,,,,,,,,1,2,,2,,2,2,,1,1,2,,2,,2,2,,2,,,,,,,,,1,66,8,2,1,,,,,1,1,2,,99,2,,6,8,,1,2,,1,1,2,3,,,,,,99,1,2,,,,,,,3,3,,,1,,2,2,2,1,,,,1,1,1,9,,0.5776565,-10,1,0,1,0.4781402
102927,2,140208,140208,5,0,1,1,2,,,,,,,2,1,2,1,2,2,1,2,1,2,3,,,,,,,,,1,1,1,2,2,1,2,2,2,1,2,2,2,,,,,2,60,,1,,,,60,4,,,1,,,,,,,,,,,2,1,1,,,2,2,2,,,,,,,2,1,,,1,,1,2,2,1,1,2,1,1,,1,2,1,1,2,1,,,1,,,,,,,2,,,,2,1,2,2,,,,,,,,,,,,2,,2,2,,1,1,1,,2,,1,2,,2,1,1,,,,,,,,,,1,49,3,2,1,,,,,1,1,2,,13,,1,3,6,,1,1,,1,2,1,2,,,,,,99,4,1,4,,,,,,2,2,,,2,,,1,2,1,,,,1,1,1,9,,1.0014383,2,3,0,6,1.8530056
102928,2,140208,140208,6,0,1,1,2,,,,,,,4,1,2,1,2,2,2,2,1,2,2,,,,,,,,,2,1,2,2,1,1,1,2,2,2,1,1,1,,,,,2,,,,60,1,,40,2,,,1,,,,,,,,,,,3,3,1,,,1,2,2,,,,,,,1,2,,,1,,1,1,2,1,2,2,1,2,,2,1,2,2,1,1,,,2,,,,,,,2,,,,2,1,2,2,,,,,,,,,,,,2,,2,2,,2,1,1,,1,1,,2,,2,2,,2,,,,,,,,,1,26,6,2,1,,,,,1,6,2,,13,1,2,3,4,,1,3,2,1,,2,3,,,,,,99,2,3,,,,,,,4,4,,,1,,1,1,2,2,,,,1,1,1,9,,0.5281033,-8,1,0,1,0.6670853
102929,2,140208,140208,3,1,1,1,3,,,,,,,3,2,1,1,1,2,1,1,1,4,1,,,,,,,,,2,1,1,2,2,1,2,2,1,2,2,2,1,,,,,1,30,1,,,,,30,2,,,1,,,,,,,,,,,1,2,2,,,1,2,2,,,,,,,1,2,,,1,,2,2,1,1,2,2,2,1,,1,1,2,2,2,1,,,2,,,,,,,1,2,,,2,2,2,2,,,,,,,,,,,,1,1,,2,,2,1,1,,1,1,,2,,2,2,,1,,,,,,,,,1,38,6,2,1,,,,,1,3,2,,12,,,6,2,,1,2,,1,1,2,3,,,,,,99,1,2,,,,,,,2,2,,,2,,,1,2,1,,,,1,1,1,9,,0.6988297,-4,2,0,3,1.0817757
102931,2,140208,140208,5,1,1,1,2,,,,,,,3,2,2,1,2,2,2,2,1,2,2,,,,,,,,,2,1,2,2,2,1,2,1,2,1,1,1,1,,,,,4,,,,50,,,50,3,,,1,,,,,,,,,,,3,3,3,,,1,1,2,,,,,,,1,2,,,1,,1,2,1,2,1,2,1,2,,1,2,1,2,2,2,,,2,,,,,,,2,,,,2,2,2,2,,,,,,,,,,,,1,2,,2,,1,2,,1,1,1,,2,,1,1,1,,,,,,,,,,2,61,3,1,1,,,,1,,5,2,,2,,2,4,3,,3,3,1,1,,1,4,,,,,,,,3,,,,,,,4,3,,,1,,1,1,2,1,,,,1,3,1,,,1.7535823,-4,2,1,8,1.4431145
102932,2,140208,140208,1,0,1,1,2,,,,,,,2,1,2,1,2,1,1,2,1,3,3,,,,,,,,,2,1,2,1,1,1,1,2,2,1,2,1,2,,,,,4,50,,,,,,50,3,,,1,,,,,,,,,,,1,1,2,,,2,2,1,,,,,,,1,1,,,2,,1,2,1,2,1,2,2,2,,1,1,1,2,1,1,,,1,,,,,,,2,,,,2,2,2,2,,,,,,,,,,,,1,2,,2,,1,2,,1,2,,2,2,,2,1,2,,,,,,,,,,1,25,3,1,2,7,,,1,,6,2,,13,1,1,2,6,,3,3,2,1,,2,4,,,,,,,,3,,,,,,,1,,,,2,,,2,2,1,,,,4,3,1,,,1.033395,-4,2,1,8,1.7921342
102933,2,140208,140208,4,0,1,1,3,,,,,,,1,2,1,1,1,2,1,1,2,4,2,,,,,,,,,2,1,2,1,1,1,2,2,2,2,1,1,2,,,,,1,25,1,,,,,25,2,,,1,,,,,,,,,,,1,2,1,,,1,2,2,,,,,,,1,2,,,1,,2,2,1,1,2,2,1,2,,2,1,1,2,1,1,,,2,,,,,,,1,1,2,,1,1,1,2,,,,,,,,,,,,1,1,,2,,2,1,1,,1,2,,1,2,,2,,2,,,,,,,,,1,70,7,2,1,,,,,1,3,2,,9,,,6,1,,1,2,,1,2,2,5,,,,,,5,1,2,,,,,,,1,,,,2,,,1,9,9,,,,1,1,1,1,,0.5776565,-8,1,0,1,0.6285761
102934,2,140208,140208,1,0,1,1,2,,,,,,,1,2,2,1,1,2,2,1,1,4,1,,,,,,,,,2,1,2,5,1,1,2,2,2,2,5,1,1,,,,,1,50,,,,,,50,3,,,1,,,,,,,,,,,3,2,1,,,1,2,2,,,,,,,1,2,,,1,,2,1,2,1,2,2,1,5,,5,5,2,2,2,1,,,2,,,,,,,1,2,,,2,2,2,2,,,,,,,,,,,,1,1,,2,,2,2,,1,1,2,,2,,2,2,,2,,,,,,,,,1,74,6,2,1,,,,,1,1,2,,2,,2,4,7,,1,2,,1,1,2,4,,,,,,99,1,2,,,,,,,2,2,,,1,,2,2,2,1,,,,1,1,1,9,,0.5281033,-9,1,0,1,0.3031206
102937,2,140208,140208,1,0,1,1,2,,,,,,,1,2,1,1,1,1,1,2,1,1,2,,,,,,,,,2,1,2,2,2,1,2,2,2,2,2,1,1,,,,,3,50,,,,,,50,3,,,9,9,2,,,,,,,,,2,1,2,,,2,1,1,,,,,,,2,1,,,2,,1,2,2,2,1,2,2,2,,2,2,2,1,1,2,,,2,,,,,,,2,,,,1,2,1,1,,,,,,,,,,,,1,1,,2,,1,1,1,,1,1,,2,,1,2,,1,,,,,,,,,2,54,6,2,3,,,,,2,5,2,1,2,,9,9,3,,3,3,2,1,,2,2,,,,,,,,3,,,,,,,3,3,,,2,,,1,2,1,,,,3,4,0,,,0.7633069,-2,3,0,2,1.0174786
102938,2,140208,140208,1,0,1,1,2,,,,,,,3,1,1,1,2,2,1,2,1,2,4,,,,,,,,,1,2,1,2,2,2,2,1,1,1,2,2,2,,,,,1,50,,,,,,50,3,,,1,,,,,,,,,,,3,3,1,,,1,2,2,,,,,,,2,1,,,5,,2,1,1,2,1,1,2,2,,1,2,2,1,2,2,,,1,,,,,,,1,1,1,2,2,1,2,2,,,,,,,,,,,,2,,2,2,,2,1,2,,9,,,2,,1,9,,,,,,,,,,,1,53,4,2,1,,,,,1,1,2,,1,,2,5,6,,1,1,,1,1,1,3,,,,,,99,1,1,4,,,,,,2,2,,,2,,,2,2,1,,,,1,1,1,9,,0.8622899,9,5,0,7,1.2684935
102940,2,140208,140208,6,0,2,1,3,,,,,,,2,2,2,1,1,1,2,1,1,1,1,,,,,,,,,2,1,2,1,2,1,2,2,2,1,9,1,2,,,,,4,,,,50,,,50,3,,,1,,,,,,,,,,,3,1,1,,,1,9,2,,,,,,,1,2,,,2,,1,2,1,2,1,2,1,2,,1,1,1,1,2,2,,,1,,,,,,,2,,,,2,2,2,2,,,,,,,,,,,,1,2,,2,,1,2,,1,2,,2,1,2,,1,1,,,,,,,,,,2,50,3,1,7,,,,3,,1,2,2,1,,1,5,2,,3,3,2,1,,2,4,,,,,,,,3,,,,,,,4,4,,,2,,,2,1,1,,,,5,3,1,,,1.7646608,-4,2,0,2,2.2222807
102941,2,140208,140208,7,0,1,1,2,,,,,,,1,2,2,1,2,2,1,1,2,1,4,,,,,,,,,2,2,1,1,2,2,1,2,1,2,1,1,1,,,,,2,80,,1,,,,80,4,,,1,,,,,,,,,,,2,1,3,,,2,1,2,,,,,,,1,2,,,2,,1,2,2,2,2,1,2,2,,1,1,1,2,1,2,,,2,,,,,,,1,1,1,1,2,2,1,2,,,,,,,,,,,,2,,2,1,1,,1,1,,1,1,,1,2,,2,,1,,,,,,,,,1,44,6,2,1,,,,,1,1,1,,2,,2,2,8,,1,3,1,1,,1,2,,,,,,99,3,3,,,,,,,4,2,,,1,,1,2,2,1,,,,1,1,1,9,,0.8244316,0,3,0,4,0.9017157
102942,2,140208,140208,7,0,1,1,1,,,,,,,1,1,2,1,2,1,1,2,1,2,4,,,,,,,,,1,2,1,2,2,1,1,5,2,1,2,2,2,,,,,1,50,,,,,,50,3,,,1,,,,,,,,,,,2,1,1,,,1,2,2,,,,,,,2,1,,,1,,1,1,2,1,2,2,1,2,,1,2,2,1,2,2,,,9,,,,,,,2,,,,2,2,2,2,,,,,,,,,,,,2,,2,2,,2,1,2,,1,2,,2,,2,1,1,,,,,,,,,,2,53,6,2,1,,,,,1,1,2,,1,,1,2,10,,1,3,9,1,,9,3,,,,,,99,5,1,4,,,,,,2,2,,,1,,2,1,2,2,,,,1,1,1,9,,0.957418,5,4,0,6,0.7246407
102943,2,140208,140208,2,0,1,1,2,,,,,,,4,1,2,1,2,1,2,1,1,2,4,,,,,,,,,1,2,1,2,2,1,1,1,2,1,2,2,2,,,,,1,,,,20,,1,80,4,,,1,,,,,,,,,,,9,1,1,,,1,2,2,,,,,,,2,1,,,2,,1,1,2,1,1,1,1,1,,1,2,1,1,2,2,,,1,,,,,,,1,2,,,2,2,2,1,,,,,,,,,,,,2,,2,2,,2,1,2,,2,,1,2,,2,1,1,,,,,,,,,,1,61,3,2,1,,,,,1,1,2,,1,,1,1,6,,1,1,,1,1,1,1,,,,,,8,1,1,4,,,,,,2,2,,,1,,2,1,2,1,,,,1,1,1,2,,1.3881446,8,5,0,6,0.9612862
102944,2,140208,140208,7,0,1,1,3,,,,,,,3,1,2,1,1,2,2,1,1,3,2,,,,,,,,,2,1,2,1,1,2,1,2,2,1,2,1,2,,,,,3,,,,70,1,,30,2,,,2,2,2,,,,,,,,,2,1,2,,,2,9,1,,,,,,,1,2,,,1,,1,2,1,2,2,1,1,1,,1,1,1,2,1,2,,,1,,,,,,,2,,,,2,2,2,2,,,,,,,,,,,,1,1,,2,,1,1,1,,2,,9,2,,1,2,,1,,,,,,,,,1,56,1,2,1,,,,,2,1,2,1,99,1,1,4,5,,3,2,,1,2,2,3,,,,,,,,2,,,,,,,2,2,,,1,,2,1,2,1,,,,1,1,0,,,1.7646608,-6,2,0,2,1.4431829
102946,2,140208,140208,5,0,1,1,2,,,,,,,4,1,2,1,2,1,2,1,1,2,4,,,,,,,,,1,2,1,2,2,2,1,1,2,1,2,1,2,,,,,3,,,,50,,,50,3,,,1,,,,,,,,,,,2,1,1,,,1,2,2,,,,,,,1,2,,,1,,2,1,1,1,1,1,2,1,,1,2,1,1,2,1,,,2,,,,,,,2,,,,2,1,2,2,,,,,,,,,,,,2,,1,2,,2,1,2,,1,2,,2,,2,1,1,,,,,,,,,,2,37,6,2,1,,,,,1,1,1,,1,,2,3,7,,1,1,,1,2,1,2,,,,,,9,3,3,,,,,,,4,2,,,2,,,2,2,1,,,,1,1,1,3,,1.0386652,6,4,0,7,1.1524623
102947,2,140208,140208,6,0,1,1,3,,,,,,,4,1,2,1,1,1,1,1,1,3,2,,,,,,,,,1,1,2,1,2,1,1,1,1,2,2,1,1,,,,,1,50,,,,,,50,3,,,2,2,1,,,,,,,,,1,1,1,,,1,2,2,,,,,,,1,2,,,1,,1,2,1,2,1,2,1,1,,2,2,1,1,1,1,,,2,,,,,,,1,2,,,1,1,2,2,,,,,,,,,,,,1,2,,2,,2,2,,1,2,,1,2,,1,1,1,,,,,,,,,,1,65,3,2,2,,,,,1,5,2,,2,,1,1,1,,1,2,,1,1,2,2,,,,,,99,1,3,,,,,,,1,,,,2,,,1,2,1,,,,2,2,1,3,,1.3662754,-4,2,0,2,1.3791945
102948,2,140208,140208,6,0,1,1,2,,,,,,,3,2,2,1,2,2,2,1,2,2,2,,,,,,,,,2,1,1,1,2,1,2,1,2,1,5,1,1,,,,,4,65,,1,,,,65,4,,,1,,,,,,,,,,,3,3,3,,,2,2,2,,,,,,,1,2,,,1,,2,2,2,1,1,2,2,2,,1,2,1,1,1,2,,,1,,,,,,,2,,,,2,2,2,2,,,,,,,,,,,,1,2,,1,1,,1,1,,1,1,,2,,2,1,2,,,,,,,,,,1,22,3,2,1,3,,,,1,6,2,,12,,,4,2,,1,3,1,1,,1,2,,,,,,99,4,3,,,,,,,1,,,,2,,,2,2,1,,,,4,4,1,9,,1.016527,-4,2,0,3,1.7220099
102951,2,140208,140208,4,0,1,1,1,,,,,,,4,1,1,2,2,1,2,1,1,3,4,,,,,,,,,1,2,1,2,2,2,1,1,1,1,2,1,2,,,,,1,,,,25,,1,75,4,,,1,,,,,,,,,,,2,1,1,,,1,2,2,,,,,,,2,1,,,2,,1,1,2,1,1,2,2,2,,1,2,1,1,2,2,,,1,,,,,,,1,2,,,2,1,1,2,,,,,,,,,,,,2,,2,1,1,,1,2,,2,,1,1,1,,2,,2,,,,,,,,,1,61,4,2,1,,,,,1,1,2,,1,,1,1,8,,1,1,,1,1,1,1,,,,,,2,1,1,1,,,,,,4,4,,,2,,,1,1,2,,,,1,1,1,1,,0.7900236,10,5,0,7,1.1684206
102952,2,140208,140208,5,0,1,1,2,,,,,,,3,2,1,1,1,1,1,1,1,3,2,,,,,,,,,2,1,5,1,2,1,2,2,2,1,2,1,1,,,,,1,,,,80,1,,20,2,,,1,,,,,,,,,,,1,2,1,,,2,2,2,,,,,,,1,2,,,1,,2,2,1,1,2,2,1,1,,2,2,1,2,1,1,,,3,,,,,,,1,1,1,2,2,2,2,2,,,,,,,,,,,,1,1,,2,,1,2,,1,1,1,,2,,2,1,1,,,,,,,,,,2,51,4,2,1,,,,,1,1,2,,10,,,4,3,,1,2,,1,1,2,4,,,,,,9,1,2,,,,,,,2,2,,,1,,3,2,2,1,,,,1,1,1,2,,1.1608574,-7,1,0,3,0.7885293
102955,2,140208,140208,3,0,2,1,2,,,,,,,3,1,2,1,2,1,1,1,1,8,8,,,,,,,,,2,2,1,1,2,1,2,2,2,1,2,5,2,,,,,5,100,,1,,,,100,5,,,2,2,2,,,,,,,,,3,3,4,,,9,9,9,,,,,,,1,5,,,5,,2,1,2,1,2,5,2,2,,2,5,1,1,1,1,,,1,,,,,,,2,,,,2,2,2,2,,,,,,,,,,,,1,1,,2,,2,2,,2,2,,2,2,,1,2,,2,,,,,,,,,1,48,2,1,7,,,,3,,1,1,2,12,,,6,4,,3,4,9,1,,9,9,,,,,,,,3,,,,,,,6,3,,,2,,,2,1,4,,,,5,3,0,,,1.6511656,0,3,1,8,2.2222807
102958,2,140208,140208,4,0,1,1,9,,,,,,,1,2,2,1,1,2,1,1,1,3,2,,,,,,,,,2,1,2,1,1,1,2,2,1,2,2,1,1,,,,,1,,,,66,1,,34,2,,,1,,,,,,,,,,,3,2,1,,,1,2,2,,,,,,,1,2,,,1,,2,2,2,1,2,2,1,1,,2,1,2,2,1,1,,,2,,,,,,,2,,,,1,1,1,2,,,,,,,,,,,,1,1,,2,,1,2,,1,1,1,,1,2,,2,,2,,,,,,,,,1,21,5,2,1,,,,,1,6,2,,12,,,6,2,,1,3,2,1,,2,4,,,,,,99,1,2,,,,,,,4,4,,,1,,1,1,2,2,,,,1,1,1,9,,0.7679783,-10,1,0,1,1.6441881
102959,2,140208,140208,7,0,1,1,2,,,,,,,1,1,1,2,1,2,1,1,2,3,2,,,,,,,,,2,2,5,2,5,1,1,1,2,1,2,2,2,,,,,1,49,1,,,,,49,2,,,1,,,,,,,,,,,9,9,3,,,2,1,2,,,,,,,1,1,,,1,,2,2,2,1,2,2,2,2,,5,5,1,1,2,1,,,1,,,,,,,2,,,,2,1,2,2,,,,,,,,,,,,1,2,,2,,2,1,1,,1,2,,1,1,,9,,,,,,,,,,,1,43,6,2,1,,,,,1,1,2,,2,,2,5,9,2,1,2,,1,2,2,4,,,,,,9,2,2,,,,,,,1,,,,1,2,,1,2,1,,,,1,1,1,2,,0.8184671,2,3,0,6,0.4884293
