ASIN,Battery Life,Batteries,Brand Name,Color,Computer Memory Type,Customer Reviews,Date First Available,Flash Memory Size,Hard Drive,Hard Drive Interface,Item Dimensions  LxWxH,Weight,Item model number,Operating System,Processor,Processor Brand,Processor Count,RAM,Screen Resolution,Screen Size,Series,Wireless Type,image,name,url,Chipset Brand,Graphics Coprocessor,Max Screen Resolution,Power Source,Rear Webcam Resolution,Memory Speed,Battery Type,Product Dimensions,Size (LWH),Processors Count,RAM Type,Size,Type,Rated Charge (normal use),FireWire Ports,LCD Native Resolution,Number of USB 2.0 Ports,Speakers,USB 2.0 Ports,Number of USB 3.0 Ports,Memory Slots
B009W9HOJA,10,,Apple,Black,SIMM,4.6,10/26/2012,32 GB,32 GB,Solid State,9.50x7.31x0.37 inches,22.4,MD517LL/A,Apple iOS 6,1 GHz Apple A6,Apple,1,1 GB DDR2,,9.7'',MD517LL/A,,http://ecx.images-amazon.com/images/I/31JMayuvTWL._SY300_.jpg,"Apple iPad with Retina Display MD517LL/A (32GB, Wi-Fi + AT&T, Black) NEWEST VERSION",http://www.amazon.com/Apple-Retina-Display-MD517LL-VERSION/dp/B009W9HOJA/ref=sr_1_20?s=pc&ie=UTF8&qid=1373500739&sr=1-20,Imagination Technologies,PowerVR SGX543MP4,,10W USB,5	MP,,,,,,,,,,,,,,,,
B00746NEJW,10,,Apple,Black,SIMM,4.4,3/7/2011,32 GB,8 GB,Solid State,9.50x7.31x0.37 inches,22.4,MC706LL/A,Apple iOS 5,1 GHz A5X,Apple,1,1 GB DDR2,,9.7'',iPad,"Bluetooth, 802.11abg",http://ecx.images-amazon.com/images/I/31OCc6C5ksL._SY300_.jpg,"Apple iPad MC706LL/A (32GB, Wi-Fi, Black)3rd Generation",http://www.amazon.com/Apple-MC706LL-Wi-Fi-Black-Generation/dp/B00746NEJW/ref=sr_1_22?s=pc&ie=UTF8&qid=1373500739&sr=1-22,Imagination Technologies,PowerVR SGX543MP4,,Battery,5	MP,,,,,,,,,,,,,,,,
B00365F6LE,10,,Apple,black,DDR SDRAM,4,1/27/2010,64 GB,16,PC Card,0.53x7.47x9.56 inches,24,MC497LL/A,Apple iOS 5,1 GHz Apple A4,Apple,1,0.256 GB DDR,1024x768,9.7'',iPad,"Bluetooth, 802.11bgn",http://ecx.images-amazon.com/images/I/618kPISJrYL._SY300_.jpg,"Apple iPad (First Generation) MC497LL/A Tablet (64GB, Wifi + 3G)",http://www.amazon.com/Apple-First-Generation-MC497LL-Tablet/dp/B00365F6LE/ref=sr_1_24?s=pc&ie=UTF8&qid=1373500739&sr=1-24,Imagination Technologies,PowerVR SGX 535 GPU,1024x768,,,,,,,,,,,,,,,,,,
B00B7MR1P2,10,,Apple,Black,SIMM,4.6,1/29/2013,128 GB,0 GB,Serial ATA,9.50x7.31x0.37 inches,22.4,ME392LL/A,Apple iOS 6,1 GHz Apple A6,Apple,2,1 GB,,9.7'',ME392LL/A,,http://ecx.images-amazon.com/images/I/31Ry7BZiAwL._SY300_.jpg,"Apple iPad with Retina Display ME392LL/A (128GB, Wi-Fi, Black) NEWEST VERSION",http://www.amazon.com/Apple-Retina-Display-ME392LL-VERSION/dp/B00B7MR1P2/ref=sr_1_23?s=pc&ie=UTF8&qid=1373500739&sr=1-23,,PowerVR SGX543MP4,,,5	MP,,,,,,,,,,,,,,,,
B00365F6EG,10,,Apple,black,DDR SDRAM,4,1/27/2010,32 GB,32 GB,Serial ATA,7.47x0.50x9.56 inches,24,MB293LL/A,Apple iOS 5,,Apple,1,256 MB DDR,1024x768,9.7'',iPad,802.11A,http://ecx.images-amazon.com/images/I/618kPISJrYL._SY300_.jpg,"Apple iPad (first generation) MB293LL/A Tablet (32GB, Wifi)",http://www.amazon.com/Apple-first-generation-MB293LL-Tablet/dp/B00365F6EG/ref=sr_1_26?s=pc&ie=UTF8&qid=1373500744&sr=1-26,Imagination Technologies,PowerVR SGX 535 GPU,1024x768,,,,,,,,,,,,,,,,,,
B00365F6IM,10,,Apple,black,DDR SDRAM,4,1/27/2010,32 GB,32 GB,PC Card,9.60x0.50x7.50 inches,25.6,MC496LL/A,Apple iOS 5,1 GHz Apple A4,Apple,1,0.256 GB DDR,1024x768,9.7'',iPad,,http://ecx.images-amazon.com/images/I/618kPISJrYL._SY300_.jpg,"Apple iPad (First Generation) MC496LL/A Tablet (32GB, Wifi + 3G)",http://www.amazon.com/Apple-First-Generation-MC496LL-Tablet/dp/B00365F6IM/ref=sr_1_27?s=pc&ie=UTF8&qid=1373500744&sr=1-27,Imagination Technologies,PowerVR SGX 535 GPU,1024x768,,,,,,,,,,,,,,,,,,
B009W9HWU6,10,,Apple,Black,SIMM,4.6,10/26/2012,64 GB,64 GB,Solid State,9.50x7.31x0.37 inches,22.4,MD518LL/A,Apple iOS 6,1 GHz Apple A6,Apple,1,1 GB DDR2,,9.7'',MD518LL/A,,http://ecx.images-amazon.com/images/I/31JMayuvTWL._SY300_.jpg,"Apple iPad with Retina Display MD518LL/A (64GB, Wi-Fi + AT&T, Black) NEWEST VERSION",http://www.amazon.com/Apple-Retina-Display-MD518LL-VERSION/dp/B009W9HWU6/ref=sr_1_25?s=pc&ie=UTF8&qid=1373500744&sr=1-25,Imagination Technologies,PowerVR SGX543MP4,,,5	MP,,,,,,,,,,,,,,,,
B009W9ID0E,10,,Apple,White,SIMM,4.6,10/26/2012,32 GB,32 GB,Solid State,9.50x7.31x0.37 inches,22.4,MD520LL/A,Apple iOS 6,1 GHz Apple A6,Apple,1,1 GB DDR2,,9.7'',MD520LL/A,,http://ecx.images-amazon.com/images/I/31oXuliLy9L._SY300_.jpg,"Apple iPad with Retina Display MD520LL/A (32GB, Wi-Fi + AT&T, White) NEWEST VERSION",http://www.amazon.com/Apple-Retina-Display-MD520LL-VERSION/dp/B009W9ID0E/ref=sr_1_28?s=pc&ie=UTF8&qid=1373500744&sr=1-28,Imagination Technologies,PowerVR SGX543MP4,,,5	MP,,,,,,,,,,,,,,,,
B0047DVW7Q,10,,Apple,Black,DDR2 SDRAM,4.4,3/2/2011,16 GB,8 GB,Serial ATA,7.31x9.50x0.34 inches,32,MC755LL/A,Apple iOS 5,1 GHz Apple A5,Apple,2,512 MB DDR2,1024x768,9.7'',iPad 2,"802.11abg, Bluetooth, 802.11n",http://ecx.images-amazon.com/images/I/31mRJLNfKlL._SY300_.jpg,"Apple iPad 2 MC755LL/A Tablet (16GB, Wifi + Verizon 3G, Black) 2nd Generation",http://www.amazon.com/Apple-MC755LL-Tablet-Verizon-Generation/dp/B0047DVW7Q/ref=sr_1_29?s=pc&ie=UTF8&qid=1373500744&sr=1-29,Imagination Technologies,PowerVR SGX543MP2,1024x768,,,1066 MHz,,,,,,,,,,,,,,,
B0096DQALK,10,,Apple,Black,SIMM,4.6,10/26/2012,16 GB,16 GB,Raid,7.87x0.28x5.31 inches,11,MD534LL/A,Apple iOS 6,1 GHz Apple A5,Apple,1,1 GB,,7.9'',MD534LL/A,"802.11abg, Bluetooth",http://ecx.images-amazon.com/images/I/310i4Ip9umL._SY300_.jpg,"Apple iPad Mini MD534LL/A (16GB, Wi-Fi + AT&T 4G, Black)",http://www.amazon.com/Apple-iPad-MD534LL-Wi-Fi-Black/dp/B0096DQALK/ref=sr_1_31?s=pc&ie=UTF8&qid=1373500744&sr=1-31,,,,,5	MP,,,,,,,,,,,,,,,,
